years_before_now,co2,years_before_now_seas_adj,co2_seas_adj,years_before_now_fit,co2_fit,years_before_now_seas_adj_fit,co2_seas_adj_fit,years_before_now_filled,co2_filled,years_before_now_seas_adj_filled,co2_seas_adj_filled
0.00265080678605045,415.18,0.121828888977689,418.31,0.121828888977689,416.71,0.121828888977689,418.3,0.121828888977689,416.76,0.121828888977689,418.31
0.00539053281340784,414.94,0.206760395827132,417.87,0.206760395827132,418.91,0.206760395827132,418.14,0.206760395827132,418.68,0.206760395827132,417.87
0.00813025884076524,414.76,0.288952176648991,418.1,0.288952176648991,420.54,0.288952176648991,417.98,0.288952176648991,420.68,0.288952176648991,418.1
0.0108699848681226,415.35,0.373883683498207,417.37,0.373883683498207,421.23,0.373883683498207,417.83,0.373883683498207,420.77,0.373883683498207,417.37
0.0149795739091587,414.83,0.456075464320293,417.24,0.456075464320293,420.48,0.456075464320293,417.68,0.456075464320293,420.02,0.456075464320293,417.24
0.0163494369228374,414.43,0.541006971169509,416.9,0.541006971169509,419.1,0.541006971169509,417.54,0.541006971169509,418.45,0.541006971169509,416.9
0.0190891629504222,414.33,0.617719299936653,418.2,0.617719299936653,418.2,0.617719299936653,417.41,0.617719299936653,418.99,0.617719299936653,418.2
0.0218288889777796,415.14,0.702650806785869,417.95,0.702650806785869,417.34,0.702650806785869,417.26,0.702650806785869,418.01,0.702650806785869,417.95
0.024568615005137,415.97,0.787582313635312,417.36,0.787582313635312,416.19,0.787582313635312,417.09,0.787582313635312,416.43,0.787582313635312,417.36
0.0273083410324944,415.89,0.869774094457171,417.09,0.869774094457171,414.68,0.869774094457171,416.92,0.869774094457171,414.82,0.869774094457171,417.09
0.0300480670598517,415.74,0.954705601306614,417.16,0.954705601306614,413.13,0.954705601306614,416.74,0.954705601306614,413.55,0.954705601306614,417.16
0.0327877930872091,415.43,1.03689738212847,416.4,1.03689738212847,413.04,1.03689738212847,416.55,1.03689738212847,412.91,1.03689738212847,416.4
0.0341576561011152,415.67,1.12182888897769,415.89,1.12182888897769,414.77,1.12182888897769,416.36,1.12182888897769,414.34,1.12182888897769,415.89
0.0355275191147939,415.51,1.20676039582713,415.84,1.20676039582713,416.94,1.20676039582713,416.17,1.20676039582713,416.65,1.20676039582713,415.84
0.0382672451421513,415.48,1.28895217664899,416.12,1.28895217664899,418.55,1.28895217664899,416,1.28895217664899,418.7,1.28895217664899,416.12
0.0464864232242235,415.64,1.37388368349821,415.56,1.37388368349821,419.21,1.37388368349821,415.82,1.37388368349821,418.95,1.37388368349821,415.56
0.0519658752791656,416.17,1.45607546432029,415.47,1.45607546432029,418.44,1.45607546432029,415.65,1.45607546432029,418.24,1.45607546432029,415.47
0.0533357382928443,415.85,1.54100697116951,415.62,1.54100697116951,417.04,1.54100697116951,415.48,1.54100697116951,417.16,1.54100697116951,415.62
0.054705601306523,415.96,1.61771929993665,415.69,1.61771929993665,416.12,1.61771929993665,415.33,1.61771929993665,416.47,1.61771929993665,415.69
0.0574453273338804,415.83,1.70265080678587,415.08,1.70265080678587,415.23,1.70265080678587,415.15,1.70265080678587,415.15,1.70265080678587,415.08
0.0601850533612378,415.67,1.78746254419138,414.81,1.78746254419138,414.07,1.78746254419138,414.97,1.78746254419138,413.89,1.78746254419138,414.81
0.0629247793885952,415.82,1.86942975730631,415.14,1.86942975730631,412.56,1.86942975730631,414.8,1.86942975730631,412.88,1.86942975730631,415.14
0.06566450541618,415.25,1.95412921085813,414.72,1.95412921085813,411.02,1.95412921085813,414.61,1.95412921085813,411.12,1.95412921085813,414.72
0.0684042314435374,416.13,2.03609642397282,414.68,2.03609642397282,410.9,2.03609642397282,414.42,2.03609642397282,411.18,2.03609642397282,414.68
0.0711439574708947,414,2.12079587752487,414.09,2.12079587752487,412.6,2.12079587752487,414.22,2.12079587752487,412.52,2.12079587752487,414.09
0.0725138204845734,415.74,2.20549533107669,413.65,2.20549533107669,414.75,2.20549533107669,414.02,2.20549533107669,414.42,2.20549533107669,413.65
0.0738836834982521,416.27,2.28746254419138,413.74,2.28746254419138,416.34,2.28746254419138,413.82,2.28746254419138,416.29,2.28746254419138,413.74
0.0766234095256095,416.35,2.37216199774343,413.77,2.37216199774343,417,2.37216199774343,413.62,2.37216199774343,417.15,2.37216199774343,413.77
0.0793631355529669,416.36,2.45412921085813,413.32,2.45412921085813,416.24,2.45412921085813,413.42,2.45412921085813,416.11,2.45412921085813,413.32
0.0821028615805517,416.1,2.53882866440995,412.88,2.53882866440995,414.8,2.53882866440995,413.22,2.53882866440995,414.45,2.53882866440995,412.88
0.0848425876079091,415.94,2.61806363708752,413.27,2.61806363708752,413.81,2.61806363708752,413.03,2.61806363708752,414.05,2.61806363708752,413.27
0.0903220396626239,415.81,2.70276309063956,413.24,2.70276309063956,412.9,2.70276309063956,412.82,2.70276309063956,413.3,2.70276309063956,413.24
0.0916919026763026,416.11,2.78758231363531,412.73,2.78758231363531,411.7,2.78758231363531,412.6,2.78758231363531,411.81,2.78758231363531,412.73
0.0930617656899813,416.24,2.86977409445717,412.42,2.86977409445717,410.15,2.86977409445717,412.39,2.86977409445717,410.16,2.86977409445717,412.42
0.095801491717566,416.3,2.95470560130661,411.99,2.95470560130661,408.58,2.95470560130661,412.17,2.95470560130661,408.4,2.95470560130661,411.99
0.0985412177449234,416.25,3.03689738212847,411.96,3.03689738212847,408.45,3.03689738212847,411.95,3.03689738212847,408.48,3.03689738212847,411.96
0.101280943772281,416.55,3.12182888897769,411.55,3.12182888897769,410.14,3.12182888897769,411.73,3.12182888897769,410.01,3.12182888897769,411.55
0.106760395826996,416.06,3.20676039582713,410.98,3.20676039582713,412.27,3.20676039582713,411.5,3.20676039582713,411.78,3.20676039582713,410.98
0.109500121854353,415.92,3.28895217664899,411.33,3.28895217664899,413.83,3.28895217664899,411.29,3.28895217664899,413.89,3.28895217664899,411.33
0.110869984868032,416.24,3.37388368349821,411.38,3.37388368349821,414.45,3.37388368349821,411.07,3.37388368349821,414.76,3.37388368349821,411.38
0.112239847881938,416.43,3.45607546432029,410.7,3.45607546432029,413.63,3.45607546432029,410.85,3.45607546432029,413.46,3.45607546432029,410.7
0.12045902596401,417.25,3.54100697116951,410.38,3.54100697116951,412.18,3.54100697116951,410.63,3.54100697116951,411.91,3.54100697116951,410.38
0.121828888977689,416.76,3.61771929993665,410.81,3.61771929993665,411.2,3.61771929993665,410.41,3.61771929993665,411.59,3.61771929993665,410.81
0.206760395827132,418.68,3.70265080678587,410.78,3.70265080678587,410.25,3.70265080678587,410.17,3.70265080678587,410.85,3.70265080678587,410.78
0.288952176648991,420.68,3.78758231363531,410.08,3.78758231363531,409.01,3.78758231363531,409.91,3.78758231363531,409.17,3.78758231363531,410.08
0.373883683498207,420.77,3.86977409445717,410.3,3.86977409445717,407.43,3.86977409445717,409.65,3.86977409445717,408.04,3.86977409445717,410.3
0.456075464320293,420.02,3.95470560130661,409.51,3.95470560130661,405.81,3.95470560130661,409.38,3.95470560130661,405.93,3.95470560130661,409.51
0.541006971169509,418.45,4.03689738212847,408.99,4.03689738212847,405.63,4.03689738212847,409.11,4.03689738212847,405.53,4.03689738212847,408.99
0.617719299936653,418.99,4.12182888897769,408.56,4.12182888897769,407.27,4.12182888897769,408.85,4.12182888897769,407.02,4.12182888897769,408.56
0.702650806785869,418.01,4.20676039582713,408.03,4.20676039582713,409.35,4.20676039582713,408.59,4.20676039582713,408.83,4.20676039582713,408.03
0.787582313635312,416.43,4.28895217664899,408.26,4.28895217664899,410.89,4.28895217664899,408.36,4.28895217664899,410.82,4.28895217664899,408.26
0.869774094457171,414.82,4.37388368349821,407.87,4.37388368349821,411.51,4.37388368349821,408.14,4.37388368349821,411.23,4.37388368349821,407.87
0.954705601306614,413.55,4.45607546432029,407.49,4.45607546432029,410.72,4.45607546432029,407.95,4.45607546432029,410.24,4.45607546432029,407.49
1.03689738212847,412.91,4.54100697116951,407.68,4.54100697116951,409.32,4.54100697116951,407.77,4.54100697116951,409.21,4.54100697116951,407.68
1.12182888897769,414.34,4.61771929993665,407.58,4.61771929993665,408.41,4.61771929993665,407.62,4.61771929993665,408.36,4.61771929993665,407.58
1.20676039582713,416.65,4.70265080678587,407.91,4.70265080678587,407.54,4.70265080678587,407.46,4.70265080678587,407.98,4.70265080678587,407.91
1.28895217664899,418.7,4.78758231363531,407.6,4.78758231363531,406.41,4.78758231363531,407.31,4.78758231363531,406.68,4.78758231363531,407.6
1.37388368349821,418.95,4.86977409445717,407.35,4.86977409445717,404.94,4.86977409445717,407.16,4.86977409445717,405.1,4.86977409445717,407.35
1.45607546432029,418.24,4.95470560130661,407.15,4.95470560130661,403.44,4.95470560130661,407,4.95470560130661,403.57,4.95470560130661,407.15
1.54100697116951,417.16,5.03689738212847,406.66,5.03689738212847,403.38,5.03689738212847,406.85,5.03689738212847,403.2,5.03689738212847,406.66
1.61771929993665,416.47,5.12182888897769,406.7,5.12182888897769,405.12,5.12182888897769,406.7,5.12182888897769,405.17,5.12182888897769,406.7
1.70265080678587,415.15,5.20676039582713,406.34,5.20676039582713,407.3,5.20676039582713,406.54,5.20676039582713,407.13,5.20676039582713,406.34
1.78746254419138,413.89,5.28895217664899,406.5,5.28895217664899,408.91,5.28895217664899,406.38,5.28895217664899,409.05,5.28895217664899,406.5
1.86942975730631,412.88,5.37388368349821,406.48,5.37388368349821,409.58,5.37388368349821,406.22,5.37388368349821,409.84,5.37388368349821,406.48
1.95412921085813,411.12,5.45607546432029,406.14,5.45607546432029,408.82,5.45607546432029,406.06,5.45607546432029,408.88,5.45607546432029,406.14
2.03609642397282,411.18,5.54100697116951,405.46,5.54100697116951,407.44,5.54100697116951,405.89,5.54100697116951,406.99,5.54100697116951,405.46
2.12079587752487,412.52,5.61771929993665,405.8,5.61771929993665,406.52,5.61771929993665,405.74,5.61771929993665,406.57,5.61771929993665,405.8
2.20549533107669,414.42,5.70265080678587,405.94,5.70265080678587,405.63,5.70265080678587,405.55,5.70265080678587,406,5.70265080678587,405.94
2.28746254419138,416.29,5.78746254419138,405.39,5.78746254419138,404.47,5.78746254419138,405.36,5.78746254419138,404.48,5.78746254419138,405.39
2.37216199774343,417.15,5.86942975730631,405.81,5.86942975730631,402.96,5.86942975730631,405.17,5.86942975730631,403.57,5.86942975730631,405.81
2.45412921085813,416.11,5.95412921085813,404.99,5.95412921085813,401.41,5.95412921085813,404.96,5.95412921085813,401.43,5.95412921085813,404.99
2.53882866440995,414.45,6.03609642397282,404.4,6.03609642397282,401.27,6.03609642397282,404.75,6.03609642397282,400.95,6.03609642397282,404.4
2.61806363708752,414.05,6.12079587752487,403.72,6.12079587752487,402.93,6.12079587752487,404.53,6.12079587752487,402.17,6.12079587752487,403.72
2.70276309063956,413.3,6.20549533107669,403.67,6.20549533107669,405.03,6.20549533107669,404.3,6.20549533107669,404.43,6.20549533107669,403.67
2.78758231363531,411.81,6.28746254419138,404.42,6.28746254419138,406.58,6.28746254419138,404.08,6.28746254419138,406.94,6.28746254419138,404.42
2.86977409445717,410.16,6.37216199774343,404.24,6.37216199774343,407.19,6.37216199774343,403.84,6.37216199774343,407.59,6.37216199774343,404.24
2.95470560130661,408.4,6.45412921085813,404.73,6.45412921085813,406.37,6.45412921085813,403.59,6.45412921085813,407.5,6.45412921085813,404.73
3.03689738212847,408.48,6.53882866440995,403.24,6.53882866440995,404.88,6.53882866440995,403.31,6.53882866440995,404.79,6.53882866440995,403.24
3.12182888897769,410.01,6.61806363708752,403.32,6.61806363708752,403.81,6.61806363708752,403.04,6.61806363708752,404.09,6.61806363708752,403.32
3.20676039582713,411.78,6.70276309063956,402.51,6.70276309063956,402.81,6.70276309063956,402.73,6.70276309063956,402.58,6.70276309063956,402.51
3.28895217664899,413.89,6.78758231363531,402.73,6.78758231363531,401.52,6.78758231363531,402.41,6.78758231363531,401.82,6.78758231363531,402.73
3.37388368349821,414.76,6.86977409445717,402.4,6.86977409445717,399.89,6.86977409445717,402.1,6.86977409445717,400.17,6.86977409445717,402.4
3.45607546432029,413.46,6.95470560130661,401.77,6.95470560130661,398.24,6.95470560130661,401.78,6.95470560130661,398.22,6.95470560130661,401.77
3.54100697116951,411.91,7.03689738212847,400.87,7.03689738212847,398.03,7.03689738212847,401.49,7.03689738212847,397.43,7.03689738212847,400.87
3.61771929993665,411.59,7.12182888897769,400.45,7.12182888897769,399.64,7.12182888897769,401.2,7.12182888897769,398.93,7.12182888897769,400.45
3.70265080678587,410.85,7.20676039582713,400.74,7.20676039582713,401.7,7.20676039582713,400.94,7.20676039582713,401.54,7.20676039582713,400.74
3.78758231363531,409.17,7.28895217664899,400.27,7.28895217664899,403.22,7.28895217664899,400.71,7.28895217664899,402.81,7.28895217664899,400.27
3.86977409445717,408.04,7.37388368349821,400.69,7.37388368349821,403.83,7.37388368349821,400.49,7.37388368349821,404.03,7.37388368349821,400.69
3.95470560130661,405.93,7.45607546432029,400.8,7.45607546432029,403.04,7.45607546432029,400.29,7.45607546432029,403.52,7.45607546432029,400.8
4.03689738212847,405.53,7.54100697116951,400.08,7.54100697116951,401.63,7.54100697116951,400.1,7.54100697116951,401.6,7.54100697116951,400.08
4.12182888897769,407.02,7.61771929993665,399.63,7.61771929993665,400.71,7.61771929993665,399.93,7.61771929993665,400.4,7.61771929993665,399.63
4.20676039582713,408.83,7.70265080678587,399.88,7.70265080678587,399.84,7.70265080678587,399.76,7.70265080678587,399.94,7.70265080678587,399.88
4.28895217664899,410.82,7.78758231363531,399.79,7.78758231363531,398.69,7.78758231363531,399.58,7.78758231363531,398.88,7.78758231363531,399.79
4.37388368349821,411.23,7.86977409445717,399.55,7.86977409445717,397.21,7.86977409445717,399.42,7.86977409445717,397.32,7.86977409445717,399.55
4.45607546432029,410.24,7.95470560130661,399.28,7.95470560130661,395.72,7.95470560130661,399.25,7.95470560130661,395.74,7.95470560130661,399.28
4.54100697116951,409.21,8.03689738212847,398.92,8.03689738212847,395.64,8.03689738212847,399.09,8.03689738212847,395.49,8.03689738212847,398.92
4.61771929993665,408.36,8.12182888897769,398.82,8.12182888897769,397.37,8.12182888897769,398.93,8.12182888897769,397.3,8.12182888897769,398.82
4.70265080678587,407.98,8.20676039582713,398.38,8.20676039582713,399.52,8.20676039582713,398.77,8.20676039582713,399.17,8.20676039582713,398.38
4.78758231363531,406.68,8.28895217664899,398.88,8.28895217664899,401.12,8.28895217664899,398.61,8.28895217664899,401.41,8.28895217664899,398.88
4.86977409445717,405.1,8.37388368349821,398.65,8.37388368349821,401.78,8.37388368349821,398.45,8.37388368349821,401.98,8.37388368349821,398.65
4.95470560130661,403.57,8.45607546432029,398.71,8.45607546432029,401.03,8.45607546432029,398.29,8.45607546432029,401.44,8.45607546432029,398.71
5.03689738212847,403.2,8.54100697116951,398.05,8.54100697116951,399.66,8.54100697116951,398.13,8.54100697116951,399.56,8.54100697116951,398.05
5.12182888897769,405.17,8.61771929993665,397.41,8.61771929993665,398.75,8.61771929993665,397.97,8.61771929993665,398.18,8.61771929993665,397.41
5.20676039582713,407.13,8.70265080678587,397.94,8.70265080678587,397.88,8.70265080678587,397.8,8.70265080678587,398.01,8.70265080678587,397.94
5.28895217664899,409.05,8.78758231363531,397.81,8.78758231363531,396.74,8.78758231363531,397.63,8.78758231363531,396.9,8.78758231363531,397.81
5.37388368349821,409.84,8.86977409445717,397.5,8.86977409445717,395.26,8.86977409445717,397.46,8.86977409445717,395.27,8.86977409445717,397.5
5.45607546432029,408.88,8.95470560130661,397.31,8.95470560130661,393.75,8.95470560130661,397.27,8.95470560130661,393.77,8.95470560130661,397.31
5.54100697116951,406.99,9.03689738212847,396.89,9.03689738212847,393.66,9.03689738212847,397.1,9.03689738212847,393.47,9.03689738212847,396.89
5.61771929993665,406.57,9.12182888897769,397,9.12182888897769,395.35,9.12182888897769,396.91,9.12182888897769,395.49,9.12182888897769,397
5.70265080678587,406,9.20676039582713,396.67,9.20676039582713,397.47,9.20676039582713,396.71,9.20676039582713,397.45,9.20676039582713,396.67
5.78746254419138,404.48,9.28895217664899,396.44,9.28895217664899,399.02,9.28895217664899,396.52,9.28895217664899,398.96,9.28895217664899,396.44
5.86942975730631,403.57,9.37388368349821,396.74,9.37388368349821,399.64,9.37388368349821,396.32,9.37388368349821,400.06,9.37388368349821,396.74
5.95412921085813,401.43,9.45607546432029,395.73,9.45607546432029,398.85,9.45607546432029,396.12,9.45607546432029,398.44,9.45607546432029,395.73
6.03609642397282,400.95,9.54100697116951,395.85,9.54100697116951,397.43,9.54100697116951,395.9,9.54100697116951,397.35,9.54100697116951,395.85
6.12079587752487,402.17,9.61771929993665,396.18,9.61771929993665,396.48,9.61771929993665,395.71,9.61771929993665,396.94,9.61771929993665,396.18
6.20549533107669,404.43,9.70265080678587,395.63,9.70265080678587,395.56,9.70265080678587,395.48,9.70265080678587,395.69,9.70265080678587,395.63
6.28746254419138,406.94,9.78746254419138,395.32,9.78746254419138,394.36,9.78746254419138,395.24,9.78746254419138,394.42,9.78746254419138,395.32
6.37216199774343,407.59,9.86942975730631,395.24,9.86942975730631,392.83,9.86942975730631,395.01,9.86942975730631,393.03,9.86942975730631,395.24
6.45412921085813,407.5,9.95412921085813,394.61,9.95412921085813,391.26,9.95412921085813,394.77,9.95412921085813,391.09,9.95412921085813,394.61
6.53882866440995,404.79,10.0360964239728,394.62,10.0360964239728,391.09,10.0360964239728,394.53,10.0360964239728,391.2,10.0360964239728,394.62
6.61806363708752,404.09,10.1207958775249,394.15,10.1207958775249,392.71,10.1207958775249,394.29,10.1207958775249,392.61,10.1207958775249,394.15
6.70276309063956,402.58,10.2054953310767,393.85,10.2054953310767,394.77,10.2054953310767,394.05,10.2054953310767,394.6,10.2054953310767,393.85
6.78758231363531,401.82,10.2874625441914,393.48,10.2874625441914,396.3,10.2874625441914,393.83,10.2874625441914,395.97,10.2874625441914,393.48
6.86977409445717,400.17,10.3721619977434,393.65,10.3721619977434,396.92,10.3721619977434,393.61,10.3721619977434,396.96,10.3721619977434,393.65
6.95470560130661,398.22,10.4541292108581,393.78,10.4541292108581,396.16,10.4541292108581,393.41,10.4541292108581,396.51,10.4541292108581,393.78
7.03689738212847,397.43,10.5388286644099,392.9,10.5388286644099,394.75,10.5388286644099,393.2,10.5388286644099,394.43,10.5388286644099,392.9
7.12182888897769,398.93,10.6180636370875,392.66,10.6180636370875,393.79,10.6180636370875,393.02,10.6180636370875,393.42,10.6180636370875,392.66
7.20676039582713,401.54,10.7027630906396,393.07,10.7027630906396,392.91,10.7027630906396,392.83,10.7027630906396,393.13,10.7027630906396,393.07
7.28895217664899,402.81,10.7875823136353,392.76,10.7875823136353,391.76,10.7875823136353,392.64,10.7875823136353,391.86,10.7875823136353,392.76
7.37388368349821,404.03,10.8697740944572,392.51,10.8697740944572,390.27,10.8697740944572,392.46,10.8697740944572,390.3,10.8697740944572,392.51
7.45607546432029,403.52,10.9547056013066,392.5,10.9547056013066,388.77,10.9547056013066,392.27,10.9547056013066,388.98,10.9547056013066,392.5
7.54100697116951,401.6,11.0368973821285,392.45,11.0368973821285,388.68,11.0368973821285,392.09,11.0368973821285,389.05,11.0368973821285,392.45
7.61771929993665,400.4,11.1218288889777,391.75,11.1218288889777,390.36,11.1218288889777,391.91,11.1218288889777,390.25,11.1218288889777,391.75
7.70265080678587,399.94,11.2067603958271,391.86,11.2067603958271,392.48,11.2067603958271,391.73,11.2067603958271,392.64,11.2067603958271,391.86
7.78758231363531,398.88,11.288952176649,391.24,11.288952176649,394.05,11.288952176649,391.57,11.288952176649,393.75,11.288952176649,391.24
7.86977409445717,397.32,11.3738836834982,391.02,11.3738836834982,394.71,11.3738836834982,391.41,11.3738836834982,394.33,11.3738836834982,391.02
7.95470560130661,395.74,11.4560754643203,390.71,11.4560754643203,393.98,11.4560754643203,391.26,11.4560754643203,393.4,11.4560754643203,390.71
8.03689738212847,395.49,11.5410069711695,390.99,11.5410069711695,392.64,11.5410069711695,391.12,11.5410069711695,392.49,11.5410069711695,390.99
8.12182888897769,397.3,11.6177192999367,391.2,11.6177192999367,391.77,11.6177192999367,391,11.6177192999367,391.96,11.6177192999367,391.2
8.20676039582713,399.17,11.7026508067859,391.26,11.7026508067859,390.95,11.7026508067859,390.87,11.7026508067859,391.33,11.7026508067859,391.26
8.28895217664899,401.41,11.7875823136353,390.73,11.7875823136353,389.85,11.7875823136353,390.73,11.7875823136353,389.83,11.7875823136353,390.73
8.37388368349821,401.98,11.8697740944572,390.9,11.8697740944572,388.42,11.8697740944572,390.6,11.8697740944572,388.69,11.8697740944572,390.9
8.45607546432029,401.44,11.9547056013066,390.69,11.9547056013066,386.95,11.9547056013066,390.44,11.9547056013066,387.18,11.9547056013066,390.69
8.54100697116951,399.56,12.0368973821285,390.24,12.0368973821285,386.88,12.0368973821285,390.29,12.0368973821285,386.85,12.0368973821285,390.24
8.61771929993665,398.18,12.1218288889777,390.03,12.1218288889777,388.58,12.1218288889777,390.12,12.1218288889777,388.53,12.1218288889777,390.03
8.70265080678587,398.01,12.2067603958271,389.57,12.2067603958271,390.69,12.2067603958271,389.95,12.2067603958271,390.35,12.2067603958271,389.57
8.78758231363531,396.9,12.288952176649,389.76,12.288952176649,392.25,12.288952176649,389.77,12.288952176649,392.26,12.288952176649,389.76
8.86977409445717,395.27,12.3738836834982,389.94,12.3738836834982,392.88,12.3738836834982,389.59,12.3738836834982,393.24,12.3738836834982,389.94
8.95470560130661,393.77,12.4560754643203,389.7,12.4560754643203,392.1,12.4560754643203,389.39,12.4560754643203,392.39,12.4560754643203,389.7
9.03689738212847,393.47,12.5410069711695,389.53,12.5410069711695,390.7,12.5410069711695,389.18,12.5410069711695,391.02,12.5410069711695,389.53
9.12182888897769,395.49,12.6177192999367,389.32,12.6177192999367,389.75,12.6177192999367,388.98,12.6177192999367,390.08,12.6177192999367,389.32
9.20676039582713,397.45,12.7026508067859,388.49,12.7026508067859,388.84,12.7026508067859,388.76,12.7026508067859,388.55,12.7026508067859,388.49
9.28895217664899,398.96,12.7875823136353,388.38,12.7875823136353,387.65,12.7875823136353,388.53,12.7875823136353,387.48,12.7875823136353,388.38
9.37388368349821,400.06,12.8697740944572,388.25,12.8697740944572,386.13,12.8697740944572,388.3,12.8697740944572,386.05,12.8697740944572,388.25
9.45607546432029,398.44,12.9547056013066,387.82,12.9547056013066,384.59,12.9547056013066,388.08,12.9547056013066,384.32,12.9547056013066,387.82
9.54100697116951,397.35,13.0368973821285,388.02,13.0368973821285,384.47,13.0368973821285,387.87,13.0368973821285,384.64,13.0368973821285,388.02
9.61771929993665,396.94,13.1218288889777,387.56,13.1218288889777,386.11,13.1218288889777,387.65,13.1218288889777,386.06,13.1218288889777,387.56
9.70265080678587,395.69,13.2067603958271,387.27,13.2067603958271,388.19,13.2067603958271,387.45,13.2067603958271,388.05,13.2067603958271,387.27
9.78746254419138,394.42,13.288952176649,387.11,13.288952176649,389.73,13.288952176649,387.26,13.288952176649,389.6,13.288952176649,387.11
9.86942975730631,393.03,13.3738836834982,386.86,13.3738836834982,390.36,13.3738836834982,387.08,13.3738836834982,390.15,13.3738836834982,386.86
9.95412921085813,391.09,13.4560754643203,386.86,13.4560754643203,389.61,13.4560754643203,386.91,13.4560754643203,389.54,13.4560754643203,386.86
10.0360964239728,391.2,13.5410069711695,387.01,13.5410069711695,388.25,13.5410069711695,386.74,13.5410069711695,388.5,13.5410069711695,387.01
10.1207958775249,392.61,13.6177192999367,386.35,13.6177192999367,387.36,13.6177192999367,386.59,13.6177192999367,387.1,13.6177192999367,386.35
10.2054953310767,394.6,13.7026508067859,386.56,13.7026508067859,386.51,13.7026508067859,386.44,13.7026508067859,386.63,13.7026508067859,386.56
10.2874625441914,395.97,13.7874625441914,385.97,13.7874625441914,385.41,13.7874625441914,386.28,13.7874625441914,385.08,13.7874625441914,385.97
10.3721619977434,396.96,13.8694297573063,386.17,13.8694297573063,383.97,13.8694297573063,386.13,13.8694297573063,383.98,13.8694297573063,386.17
10.4541292108581,396.51,13.9541292108581,386.23,13.9541292108581,382.5,13.9541292108581,385.97,13.9541292108581,382.75,13.9541292108581,386.23
10.5388286644099,394.43,14.0360964239728,386.44,14.0360964239728,382.41,14.0360964239728,385.81,14.0360964239728,383.05,14.0360964239728,386.44
10.6180636370875,393.42,14.1207958775249,385.58,14.1207958775249,384.08,14.1207958775249,385.65,14.1207958775249,384.05,14.1207958775249,385.58
10.7027630906396,393.13,14.2054953310767,385.48,14.2054953310767,386.19,14.2054953310767,385.48,14.2054953310767,386.22,14.2054953310767,385.48
10.7875823136353,391.86,14.2874625441914,385.56,14.2874625441914,387.75,14.2874625441914,385.31,14.2874625441914,388.02,14.2874625441914,385.56
10.8697740944572,390.3,14.3721619977434,385.21,14.3721619977434,388.41,14.3721619977434,385.14,14.3721619977434,388.48,14.3721619977434,385.21
10.9547056013066,388.98,14.4541292108581,384.04,14.4541292108581,387.7,14.4541292108581,384.99,14.4541292108581,386.74,14.4541292108581,384.04
11.0368973821285,389.05,14.5388286644099,384.29,14.5388286644099,386.36,14.5388286644099,384.83,14.5388286644099,385.8,14.5388286644099,384.29
